LSOA11CD,crime_count,hotspot_5,hotspot_10,hotspot_15,hotspot_20,imd_score,imd_decile,ptal_score,pop_density,road_density,node_density
E01001248,310.0,0.0,0.0,0.0,0.0,17.386,6,4.91454,2390.5,53966.0,1496.0
E01001249,1025.0,0.0,1.0,1.0,1.0,41.534,2,18.7442,15655.5,57829.0,2589.0
E01001250,610.0,0.0,0.0,0.0,1.0,37.117,2,13.1669,8815.7,83357.0,1958.0
E01001251,328.0,0.0,0.0,0.0,0.0,18.709,5,14.279,9684.2,90818.0,2523.0
E01001252,710.0,0.0,0.0,1.0,1.0,25.654,4,14.8905,12724.5,91695.0,2595.0
E01001253,220.0,0.0,0.0,0.0,0.0,15.645,6,5.60893,13031.2,114806.0,2107.0
E01001254,228.0,0.0,0.0,0.0,0.0,14.588,6,8.62924,8330.9,87949.0,2792.0
E01001255,141.0,0.0,0.0,0.0,0.0,13.456,7,7.70175,8957.2,109154.0,1977.0
E01001257,544.0,0.0,0.0,0.0,0.0,40.826,2,7.0454,13549.8,46148.0,1210.0
E01001258,230.0,0.0,0.0,0.0,0.0,15.858,6,10.0857,8814.7,38855.0,553.0
E01001259,253.0,0.0,0.0,0.0,0.0,20.119,5,11.9615,6128.8,34803.0,750.0
E01001260,268.0,0.0,0.0,0.0,0.0,20.741,5,13.7473,7605.4,36793.0,982.0
E01001261,1268.0,1.0,1.0,1.0,1.0,22.674,4,16.0815,5396.8,29846.0,1139.0
E01001262,277.0,0.0,0.0,0.0,0.0,31.334,3,5.98263,6247.6,41203.0,1272.0
E01001263,549.0,0.0,0.0,0.0,0.0,34.487,2,3.78341,5932.4,52167.0,2146.0
E01001264,276.0,0.0,0.0,0.0,0.0,24.398,4,3.27381,6000.0,34821.0,666.0
E01001265,315.0,0.0,0.0,0.0,0.0,20.568,5,2.13603,3437.7,29759.0,694.0
E01001266,633.0,0.0,0.0,0.0,1.0,16.109,6,9.70967,2499.7,33743.0,820.0
E01001267,510.0,0.0,0.0,0.0,0.0,31.849,3,8.61345,5301.0,47915.0,1400.0
E01001268,241.0,0.0,0.0,0.0,0.0,18.541,5,4.44543,6463.6,43114.0,911.0
E01001269,245.0,0.0,0.0,0.0,0.0,13.557,7,8.36389,7802.2,34570.0,1024.0
